"";"Nrpk";"Year";"Date";"Releve_area";"Polig_nr";"Manag_impact";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Eksp_group";"Mont_pnt";"Eksp_str";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Ul_strgraz";"Exp_opin";"Statuslet";"Luordap";"Shr_score";"Litt_score";"Sur_score";"Mos_score";"Exp_score";"Swrd_score";"Pastr_scor";"Imp_score";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Aegoppod";"Alopepra";"Anthrsyl";"Calamepi";"Cirsiarv";"Chaeraro";"Dactyglo";"Elytrrep";"Filipulm";"Heracsos";"Loliuper";"Lupinpol";"Ranunrep";"Solidcan";"Taraxoff";"Trifohyb";"Trifomed";"Agrimonia.eupatoria";"Alchemilla.vulgaris";"Briza.media";"Campanula.spp.";"Carex.panicea";"Carlina.vulgaris";"Centaurea.spp.";"Cirsium.heterophyllum";"Cirsium.oleraceum";"Dactylorhiza.spp.";"Dianthus.deltoides";"Fragaria.spp.";"Galium.boreale";"Galium.spp.";"Galium.verum";"Geranium.spp.";"Geum.spp.";"Hypericum.spp.";"Inula.salicina";"Knautia.arvensis";"Lathyrus.spp...Lotus.spp.";"Leontodon.hispidus.danubialis";"Leucanthemum.vulgare";"Listera.ovata";"Lychnis.flos.cuculi";"Lythrum.salicaria";"Medicago.lupulina";"Melampyrum.spp.";"Pilosella..Hieracium.species";"Pimpinella.saxifraga";"Plantago.media";"Platanthera.spp.";"Polygala.spp.";"Potentilla.argentea";"Potentilla.erecta";"Primula.veris";"Rhinanthus.spp.";"Scirpus.sylvaticus";"Sedum.acre";"Solidago.virgaurea";"Succisa.pratensis";"Thalictrum.spp.";"Thymus.spp.";"Tragopogon.pratensis";"Trifolium.dzelteniem.z.";"Trifolium.montanum";"Trollius.europaeus";"Valeriana.officinalis";"Veronica.longifolia";"Viscaria.vulgaris";"spp_richness_subplot";"avg_spp_richness_10subplots"
"1";671;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_1";"M_Medne";"Medne";1;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"0";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2,5
"2";672;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_10";"M_Medne";"Medne";10;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
"3";673;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_2";"M_Medne";"Medne";2;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
"4";674;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_3";"M_Medne";"Medne";3;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;2,5
"5";675;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_4";"M_Medne";"Medne";4;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;2,5
"6";676;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_5";"M_Medne";"Medne";5;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"0";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,5
"7";677;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_6";"M_Medne";"Medne";6;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2,5
"8";678;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_7";"M_Medne";"Medne";7;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
"9";679;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_8";"M_Medne";"Medne";8;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2,5
"10";680;2023;20230607;"12.6";"6620_3";"no";6620;"rez";"23_6620_3_b";"23_6620_3";"23_6620_3_b_9";"M_Medne";"Medne";9;"M_Medne";"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"na";"na";"no";"no";"na";"s";"DAP";10;-10;-5;0;-20;"-15";"na";-10;-50;"13.5";"13.5";"-36.5";"very_bad";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
