"Nrpk";"Year";"Date";"Polig_nr";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Exp_gr";"Mont_pnt";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Exp_opin";"Statuslet";"Luordap";"Transect_segment";"Transect_length";"Tr_length_m";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Gr_qualit_farmer";"No_sp_plot";"aeup";"avul";"bmed";"camp";"cpan";"cvul";"cent";"chet";"cole";"dact";"ddel";"frag";"gbor";"gali";"gver";"gera";"geum";"hype";"isal";"karv";"lath";"lhis";"lvul";"lova";"lfos";"lsal";"mlup";"mela";"pilo";"psax";"pmed";"plat";"poly";"parg";"pere";"pver";"rhin";"ssyl";"sacr";"svir";"spra";"thal";"thym";"tpra";"trif";"tmon";"teur";"voff";"vlon";"vvul";"cumul_spno";"pairs"
151;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
152;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_10";"M_Medne";"exp1";10;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;15;"1"
153;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_2";"M_Medne";"exp1";2;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";6;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;"1"
154;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_3";"M_Medne";"exp1";3;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";8;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
155;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_4";"M_Medne";"exp1";4;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";8;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
156;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_5";"M_Medne";"exp1";5;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
157;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_6";"M_Medne";"exp1";6;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";6;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
158;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_7";"M_Medne";"exp1";7;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";8;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
159;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_8";"M_Medne";"exp1";8;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";8;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;15;"1"
160;2023;20230629;"6408_1";6408;"komb";"23_6408_1_b";"23_6408_1";"23_6408_1_b_9";"M_Medne";"exp1";9;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"49";"443.1719971";"443";15;"33.5";"33.5";"48.5";"average";"na";6;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;"1"
191;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
192;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_10";"M_Medne";"exp1";10;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;"1"
193;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_2";"M_Medne";"exp1";2;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";7;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
194;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_3";"M_Medne";"exp1";3;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";6;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
195;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_4";"M_Medne";"exp1";4;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
196;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_5";"M_Medne";"exp1";5;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
197;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_6";"M_Medne";"exp1";6;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";9;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
198;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_7";"M_Medne";"exp1";7;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
199;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_8";"M_Medne";"exp1";8;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";6;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
200;2023;20230629;"6408_5";6408;"komb";"23_6408_5_b";"23_6408_5";"23_6408_5_b_9";"M_Medne";"exp1";9;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"67";"606.3699951";"606";15;"25.5";"25.5";"40.5";"average";"na";3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"1"
321;2023;20230706;"6495_2";6495;"komb";"23_6495_2_b";"23_6495_2";"23_6495_2_b_1";"M_Medne";"exp1";1;"Inguna_Avota_Krumini";"basic_ZP";"Participant";"pasture";"na";"na";"no";"na";"s";"DAP";"37";"337.4490051";"337";5;"36";"36";"41";"average";"na";9;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;"1"
