"Nrpk";"Year";"Date";"Polig_nr";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Exp_gr";"Mont_pnt";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Exp_opin";"Statuslet";"Luordap";"Transect_segment";"Transect_length";"Tr_length_m";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Gr_qualit_farmer";"No_sp_plot";"aeup";"avul";"bmed";"camp";"cpan";"cvul";"cent";"chet";"cole";"dact";"ddel";"frag";"gbor";"gali";"gver";"gera";"geum";"hype";"isal";"karv";"lath";"lhis";"lvul";"lova";"lfos";"lsal";"mlup";"mela";"pilo";"psax";"pmed";"plat";"poly";"parg";"pere";"pver";"rhin";"ssyl";"sacr";"svir";"spra";"thal";"thym";"tpra";"trif";"tmon";"teur";"voff";"vlon";"vvul";"cumul_spno";"pairs";"avrg_spno_plot"
2731;2024;20240702;"6408_4";6408;"komb";"24_6408_4_b";"24_6408_4";"24_6408_4_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";46;"417.6010132";418;10;"31";"31";"41";"average";"na";6;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;1;6,1
2741;2024;20240702;"6408_5";6408;"komb";"24_6408_5_b";"24_6408_5";"24_6408_5_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";67;"606.3699951";606;30;"25.5";"25.5";"55.5";"average";"na";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;5,1
3231;2024;20240621;"6599_1";6599;"rez";"24_6599_1_b";"24_6599_1";"24_6599_1_b_1";"M_Medne";"exp1";1;"Ciruli";"basic_ZP";"Participant";"pasture";"no";"yes";"no";"exp_average";"s";"DAP";47;"423.2210083";423;10;"45";"45";"55";"average";"na";11;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;7,8
3271;2024;20240620;"6620_2";6620;"rez";"24_6620_2_b";"24_6620_2";"24_6620_2_b_1";"M_Medne";"exp1";1;"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";56;"503.8380127";504;20;"34";"34";"54";"average";"na";5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;5,7
3461;2024;20240628;"6707";6707;"rez";"24_6707_b";"24_6707";"24_6707_b_1";"M_Medne";"exp1";1;"Ainars_Silickis";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_good";"s";"DAP";17;"148.9579926";149;10;"31.5";"31.5";"41.5";"average";"na";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;5,2
3641;2024;20240701;"6768_2";6768;"komb";"24_6768_2_b";"24_6768_2";"24_6768_2_b_1";"M_Medne";"exp1";1;"Aiva_Gailite";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";26;"235.5599976";236;25;"33.5";"33.5";"58.5";"average";"na";8;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;5,4
4141;2024;20240618;"6908";6908;"rez";"24_6908_b";"24_6908";"24_6908_b_1";"M_Medne";"exp1";1;"Maruta_Malniece";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_good";"s";"DAP";22;"196.5429993";197;10;"52";"50";"60";"average";"na";15;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;20;1;9,5
4531;2024;20240626;"6968_2";6968;"komb";"24_6968_2_b";"24_6968_2";"24_6968_2_b_1";"M_Medne";"exp1";1;"Vecumnieki_ZS";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";49;"445.0740051";445;5;"38";"38";"43";"average";"na";6;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;6,6
3021;2024;20240619;"6546";6546;"komb";"24_6546_b";"24_6546";"24_6546_b_1";"M_Medne";"exp1";1;"Arta_Rozenberga";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";63;"564.0640259";564;-5;"35";"35";"30";"bad";"na";8;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;16;1;6,1
3261;2024;20240620;"6620_1";6620;"rez";"24_6620_1_b";"24_6620_1";"24_6620_1_b_1";"M_Medne";"exp1";1;"Vilnis_Spats";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";31;"276.20401";276;10;"23.5";"23.5";"33.5";"bad";"na";7;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;4,6
